"","STU_ID","Attrition_Y_N","Grades","MAP.Score","Number_Absent","Number_Disc_Incidents","days_enrolled","weeks_enrolled","months_enrolled","years_enrolled","Miles_Distance_House_School"
"3257",4016,0,0,34,4,7,345,49.29,11,0.95,3.067243965
"3258",4017,0,0,35.5,2,7,345,49.29,11,0.95,6.206409885
"3259",4018,0,0,21,15,7,345,49.29,11,0.95,1.500144178
"3260",4019,0,0,23.5,39,7,345,49.29,11,0.95,6.247865973
"3261",4020,0,0,34,12,7,345,49.29,11,0.95,6.549756819
"3262",4021,0,0,9,2,7,345,49.29,11,0.95,1.820451217
"3263",4022,0,0,61,11,7,345,49.29,11,0.95,4.620037162
"3264",4023,0,0,51.5,5,7,345,49.29,11,0.95,5.615674697
"3265",4024,0,86.5,70,12,7,345,49.29,11,0.95,7.273296626
"3266",4025,0,79.4,3,8,7,345,49.29,11,0.95,4.881563605
"3267",4026,0,93.4,59,10,7,345,49.29,11,0.95,1.753462821
"3268",4027,0,96.5,74.25,1,7,345,49.29,11,0.95,1.086285105
"3269",4028,0,0,19,2,7,345,49.29,11,0.95,2.858671415
"3270",4029,0,0,23,21,7,345,49.29,11,0.95,2.966792971
"3271",4030,0,91,92,2,7,345,49.29,11,0.95,1.367495489
"3272",4031,0,0,53,6,7,345,49.29,11,0.95,3.785910141
"3273",4032,0,0,86,0,7,345,49.29,11,0.95,2.218379468
"3274",4033,0,0,76.5,0,7,345,49.29,11,0.95,3.056337996
"3275",4034,0,0,22,3,7,345,49.29,11,0.95,3.856365665
"3276",4035,0,0,71,6,7,345,49.29,11,0.95,2.248987058
"3277",4036,1,74.8333333333333,36.33,0,7,125,17.86,4,0.34,9.449540716
"3278",4037,1,89.5,65,0,7,124,17.71,4,0.34,9.449540716
"3279",4038,0,81.2,28.33,13,7,345,49.29,11,0.95,1.016593565
"3280",4039,1,77.2,2,6,7,67,9.57,2,0.18,3.691043663
"3281",4040,0,0,17.5,4,7,345,49.29,11,0.95,3.676789611
"3282",4041,0,89.7,64,6,7,345,49.29,11,0.95,0.373148985
"3283",4042,0,0,17,8,7,345,49.29,11,0.95,4.997157619
"3284",4043,0,0,14,2,7,345,49.29,11,0.95,2.248987058
"3285",4044,0,0,57,3,7,345,49.29,11,0.95,5.715482731
"3286",4045,0,82.5,54.67,23,7,345,49.29,11,0.95,11.61137613
"3287",4046,0,0,19.5,6,7,345,49.29,11,0.95,1.288085726
"3288",4047,1,0,19.5,0,7,30,4.29,1,0.08,0.401160735
"3289",4048,0,0,19.5,0,7,345,49.29,11,0.95,5.72757997
"3290",4049,0,95,48.75,1,7,345,49.29,11,0.95,0.899957404
"3291",4050,0,82.9,2.75,8,7,345,49.29,11,0.95,2.881526942
"3292",4051,0,80.3,32.25,9,7,345,49.29,11,0.95,0.615465273
"3293",4052,0,85.6,15.75,20,7,345,49.29,11,0.95,3.596630796
"3294",4053,0,76,1.75,48,1,345,49.29,11,0.95,1.443710886
"3295",4054,0,82.5,7.5,2,1,345,49.29,11,0.95,1.560338444
"3296",4055,0,0,17,8,1,345,49.29,11,0.95,3.614405754
"3297",4056,0,0,27,17,1,345,49.29,11,0.95,4.920310433
"3298",4057,0,0,11,0,1,345,49.29,11,0.95,5.734996235
"3299",4058,1,0,18,2,1,224,32,7,0.61,0.848711837
"3300",4059,1,0,21,29,1,215,30.71,7,0.59,6.264374933
"3301",4060,1,0,47,28,1,215,30.71,7,0.59,6.264374933
"3302",4061,0,0,66.5,2,1,398,56.86,13,1.09,8.941735811
"3303",4062,0,0,53.5,3,1,345,49.29,11,0.95,2.967251494
"3304",4063,0,0,47,11,1,345,49.29,11,0.95,5.378627003
"3305",4064,0,0,51.5,16,1,398,56.86,13,1.09,7.379473103
"3306",4065,0,0,20,0,1,398,56.86,13,1.09,2.742941829
"3307",4066,0,0,12.5,1,1,398,56.86,13,1.09,2.742941829
"3308",4067,0,0,68.5,6,1,345,49.29,11,0.95,2.649405397
"3309",4068,0,0,37.5,4,1,345,49.29,11,0.95,4.174661885
"3310",4069,0,0,8.5,9,1,345,49.29,11,0.95,5.389469588
"3311",4070,0,0,8,9,1,345,49.29,11,0.95,5.971112464
"3312",4071,0,0,15.5,11,1,345,49.29,11,0.95,5.389469588
"3313",4072,0,85.5,44.25,2,1,345,49.29,11,0.95,1.538856676
"3314",4073,0,83,10.75,14,1,345,49.29,11,0.95,1.27621956
"3315",4074,0,93.0833333333333,72.75,1,1,345,49.29,11,0.95,1.23674795
"3316",4075,0,80.7,1.5,14,1,345,49.29,11,0.95,4.712701677
"3317",4076,0,82.5833333333333,17.25,113,1,345,49.29,11,0.95,1.421398092
"3318",4077,0,90,40.75,6,1,345,49.29,11,0.95,5.131432688
"3319",4078,0,0,40.75,0,1,345,49.29,11,0.95,6.568958907
"3320",4079,1,86.0833333333333,34,11,1,241,34.43,8,0.66,2.311771322
"3321",4080,0,0,34,0,1,345,49.29,11,0.95,2.311771322
"3322",4081,0,0,34,0,1,345,49.29,11,0.95,0.421387711
"3323",4082,0,87.75,38,17,1,345,49.29,11,0.95,0.146075377
"3324",4083,0,92,40.5,13,1,345,49.29,11,0.95,4.422135256
"3325",4084,0,0,8.5,10,1,345,49.29,11,0.95,1.175120103
"3326",4085,0,91.4166666666667,54.25,15,1,345,49.29,11,0.95,4.422135256
"3327",4086,0,87.0833333333333,40.5,54,2,345,49.29,11,0.95,1.868134817
"3328",4087,0,88.0833333333333,57.5,3,2,345,49.29,11,0.95,0.81945814
"3329",4088,0,77.6666666666667,17,3,2,345,49.29,11,0.95,2.0774692
"3330",4089,0,82.4166666666667,24.5,19,2,345,49.29,11,0.95,0.764461489
"3331",4090,0,90.6666666666667,59.75,7,2,345,49.29,11,0.95,5.210794464
"3332",4091,0,87.1666666666667,35,33,2,345,49.29,11,0.95,1.4844005
"3333",4092,0,88.6666666666667,37,13,2,345,49.29,11,0.95,3.500515994
"3334",4093,0,83.4166666666667,13.33,3,2,345,49.29,11,0.95,1.566369477
"3335",4094,0,81.8333333333333,5.75,57,2,345,49.29,11,0.95,2.315315653
"3336",4095,0,95.4166666666667,87,11,2,345,49.29,11,0.95,2.794580188
"3337",4096,1,92.8333333333333,80.5,5,2,73,10.43,2,0.2,0.571664086
"3338",4097,0,91.5,60,12,2,345,49.29,11,0.95,3.846099583
"3339",4098,0,90.0833333333333,64.5,2,2,345,49.29,11,0.95,0.840141255
"3340",4099,0,88.6666666666667,57,7,2,345,49.29,11,0.95,4.559552312
"3341",4100,0,87.6666666666667,55.25,9,2,345,49.29,11,0.95,9.323851817
"3342",4101,0,81.25,49,14,2,345,49.29,11,0.95,1.527202029
"3343",4102,0,0,49,0,2,345,49.29,11,0.95,1.000281856
"3344",4103,0,84.5833333333333,26.5,19,2,345,49.29,11,0.95,6.109360478
"3345",4104,0,90.8333333333333,53.25,53,2,345,49.29,11,0.95,2.480405591
"3346",4105,0,85.7,46.25,0,2,345,49.29,11,0.95,0.207949337
"3347",4106,0,82.6,6.5,48,2,345,49.29,11,0.95,0.689842588
"3348",4107,0,85.5,35.25,24,2,345,49.29,11,0.95,5.400464059
"3349",4108,1,79.125,1.5,2,2,73,10.43,2,0.2,1.223657605
"3350",4109,0,86.6,68,48,2,345,49.29,11,0.95,9.288135356
"3351",4110,0,87.2,30.5,21,2,345,49.29,11,0.95,1.322805649
"3352",4111,0,77.7,1,2,2,345,49.29,11,0.95,5.17685964
